index,loc
1642,1000
1969,1000
3124,1000
5095,1000
5340,1000
8723,1000
9282,1000
14822,1000
15082,1000
16803,1000
18022,1000
18855,1000
19002,1000
19574,1000
21898,1000
21973,1000
22020,1000
22066,1000
23352,1000
25332,1000
28762,1000
29344,1000
32305,1000
33985,1000
34827,1000
36470,1000
36738,1000
38872,1000
41071,1000
41091,1000
44566,1000
45354,1000
46225,1000
46360,1000
47555,1000
47797,1000
48049,1000
48109,1000
49639,1000
50952,1000
53096,1000
54268,1000
55430,1000
57968,1000
58491,1000
59371,1000
60852,1000
61279,1000
61892,1000
64380,1000
64718,1000
66421,1000
68480,1000
69041,1000
70135,1000
72752,1000
76397,1000
78015,1000
79057,1000
79740,1000
79957,1000
80004,1000
80101,1000
82595,1000
83368,1000
84713,1000
85848,1000
88444,1000
88588,1000
91767,1000
92605,1000
92615,1000
92661,1000
93253,1000
94087,1000
94613,1000
94867,1000
95443,1000
97510,1000
98166,1000
98518,1000
99335,1000
100255,1000
101143,1000
102828,1000
104749,1000
106687,1000
108438,1000
109519,1000
109815,1000
110252,1000
111898,1000
116504,1000
117076,1000
117357,1000
118651,1000
119018,1000
123674,1000
123733,1000
125012,1000
126342,1000
127265,1000
127462,1000
131559,1000
134252,1000
135934,1000
136518,1000
136890,1000
138398,1000
138620,1000
139059,1000
139455,1000
140275,1000
140820,1000
140835,1000
140852,1000
140991,1000
141164,1000
141212,1000
143044,1000
144780,1000
145700,1000
145753,1000
145934,1000
146025,1000
146751,1000
147559,1000
148160,1000
148274,1000
149659,1000
150229,1000
153067,1000
153386,1000
154358,1000
154826,1000
156865,1000
157399,1000
158677,1000
160198,1000
161583,1000
162002,1000
163975,1000
165122,1000
165809,1000
166275,1000
166670,1000
169111,1000
171050,1000
171259,1000
171814,1000
172982,1000
174266,1000
174607,1000
174962,1000
175101,1000
179974,1000
179980,1000
180848,1000
182824,1000
183296,1000
183322,1000
185438,1000
185617,1000
186032,1000
186357,1000
186370,1000
187115,1000
187687,1000
187741,1000
188698,1000
188954,1000
189057,1000
189451,1000
189906,1000
190375,1000
193930,1000
194049,1000
194198,1000
194708,1000
194996,1000
196872,1000
197666,1000
197801,1000
198621,1000
200321,1000
200628,1000
200649,1000
200681,1000
200795,1000
201709,1000
201791,1000
204206,1000
204577,1000
204903,1000
206252,1000
206280,1000
206890,1000
207934,1000
210646,1000
211205,1000
212118,1000
215381,1000
215825,1000
216098,1000
216698,1000
217512,1000
217611,1000
217678,1000
219614,1000
219795,1000
220286,1000
220496,1000
220839,1000
221476,1000
221772,1000
223982,1000
225291,1000
226283,1000
227990,1000
228447,1000
231962,1000
232029,1000
233316,1000
234634,1000
234642,1000
237222,1000
238427,1000
239714,1000
240043,1000
240989,1000
242493,1000
242737,1000
244133,1000
245303,1000
246975,1000
247384,1000
249132,1000
249342,1000
251314,1000
251987,1000
252172,1000
252695,1000
253028,1000
255892,1000
256019,1000
256174,1000
256805,1000
258941,1000
259350,1000
259499,1000
260942,1000
261806,1000
261963,1000
262887,1000
262985,1000
263745,1000
263852,1000
264011,1000
264518,1000
265046,1000
265293,1000
268686,1000
269550,1000
269741,1000
270868,1000
271575,1000
271803,1000
272044,1000
272883,1000
276282,1000
277373,1000
280013,1000
280924,1000
280949,1000
282676,1000
283079,1000
283969,1000
284060,1000
284268,1000
284316,1000
284656,1000
285791,1000
286726,1000
287749,1000
288445,1000
289945,1000
290927,1000
292237,1000
292670,1000
294131,1000
297731,1000
297817,1000
298092,1000
299437,1000
299672,1000
302409,1000
304864,1000
307544,1000
307621,1000
308182,1000
310070,1000
310820,1000
313740,1000
316337,1000
316426,1000
316755,1000
317180,1000
318538,1000
318543,1000
319196,1000
321527,1000
321780,1000
322863,1000
326344,1000
327056,1000
327527,1000
328807,1000
330241,1000
331211,1000
332629,1000
335216,1000
336815,1000
339110,1000
340199,1000
341204,1000
341539,1000
341882,1000
342331,1000
345135,1000
345321,1000
346294,1000
346516,1000
346607,1000
348080,1000
348164,1000
349044,1000
352523,1000
352651,1000
353625,1000
354811,1000
355294,1000
355603,1000
355790,1000
355829,1000
356123,1000
357086,1000
357145,1000
358036,1000
359184,1000
360295,1000
360942,1000
362651,1000
364302,1000
366037,1000
366889,1000
367316,1000
368941,1000
369611,1000
369846,1000
370547,1000
371780,1000
373622,1000
373879,1000
374668,1000
374733,1000
377897,1000
378088,1000
379609,1000
380542,1000
384291,1000
384587,1000
385868,1000
387504,1000
387832,1000
391610,1000
392626,1000
392702,1000
393066,1000
394250,1000
395626,1000
399687,1000
399904,1000
402143,1000
402718,1000
405250,1000
405347,1000
406495,1000
407357,1000
409526,1000
409930,1000
412921,1000
413729,1000
414083,1000
414088,1000
414886,1000
415223,1000
416497,1000
416825,1000
417052,1000
417375,1000
417432,1000
417435,1000
417955,1000
418207,1000
419218,1000
420776,1000
421231,1000
422114,1000
422457,1000
423946,1000
424616,1000
425311,1000
426456,1000
429833,1000
430135,1000
431160,1000
432122,1000
432696,1000
433760,1000
433805,1000
434541,1000
435944,1000
436527,1000
438398,1000
439940,1000
440883,1000
441074,1000
443211,1000
443665,1000
444349,1000
444469,1000
447219,1000
447741,1000
448499,1000
448609,1000
449019,1000
452616,1000
452933,1000
453337,1000
453634,1000
454306,1000
455375,1000
456619,1000
461646,1000
462624,1000
462832,1000
463193,1000
463698,1000
463826,1000
467170,1000
467570,1000
467942,1000
468502,1000
470344,1000
470375,1000
471108,1000
472507,1000
473767,1000
477863,1000
480757,1000
480889,1000
483660,1000
484064,1000
484465,1000
484522,1000
486755,1000
486801,1000
488419,1000
490447,1000
494220,1000
496176,1000
496566,1000
496690,1000
498063,1000
498259,1000
498295,1000
499327,1000
501123,1000
502023,1000
502331,1000
505679,1000
507206,1000
507271,1000
507651,1000
508156,1000
508423,1000
509673,1000
510959,1000
513285,1000
514054,1000
515235,1000
516441,1000
516708,1000
517476,1000
518285,1000
520033,1000
521037,1000
522231,1000
523147,1000
523352,1000
524957,1000
525158,1000
525250,1000
525308,1000
530941,1000
534171,1000
534693,1000
534891,1000
535256,1000
538961,1000
540322,1000
541712,1000
543693,1000
545458,1000
546014,1000
546153,1000
546335,1000
548179,1000
548519,1000
548632,1000
548907,1000
549542,1000
549589,1000
551822,1000
551824,1000
552779,1000
552884,1000
553139,1000
553367,1000
553801,1000
553820,1000
554911,1000
555067,1000
555441,1000
555758,1000
556044,1000
556771,1000
556821,1000
557051,1000
557284,1000
558320,1000
560485,1000
561461,1000
561942,1000
563297,1000
565577,1000
565724,1000
566149,1000
566267,1000
566571,1000
569739,1000
570030,1000
570718,1000
571035,1000
573870,1000
574797,1000
574978,1000
575143,1000
578166,1000
578238,1000
578425,1000
579077,1000
580098,1000
580244,1000
580549,1000
584626,1000
585190,1000
585747,1000
586143,1000
586177,1000
586470,1000
587369,1000
589407,1000
590593,1000
591477,1000
592728,1000
593161,1000
594663,1000
595807,1000
595914,1000
597620,1000
598219,1000
598441,1000
598597,1000
598921,1000
599541,1000
600217,1000
600859,1000
601801,1000
602920,1000
603068,1000
604883,1000
605940,1000
606733,1000
608637,1000
609296,1000
613281,1000
614140,1000
614439,1000
616173,1000
617313,1000
617534,1000
617849,1000
618571,1000
618708,1000
619018,1000
619537,1000
620691,1000
621029,1000
622582,1000
622698,1000
626014,1000
626080,1000
629534,1000
629764,1000
634013,1000
635518,1000
636258,1000
636387,1000
637041,1000
637433,1000
638119,1000
639017,1000
640372,1000
640633,1000
640848,1000
641675,1000
