index,loc
6571,1024
7640,1024
7876,1024
12499,1024
20380,1024
21363,1024
22741,1024
25672,1024
27038,1024
34892,1024
37129,1024
59288,1024
60329,1024
67213,1024
72089,1024
73019,1024
75421,1024
76008,1024
78297,1024
79551,1024
87593,1024
87895,1024
88080,1024
88264,1024
93410,1024
101328,1024
109570,1024
115051,1024
117037,1024
117379,1024
122685,1024
129223,1024
134876,1024
135940,1024
139311,1024
145880,1024
146952,1024
155489,1024
159039,1024
164284,1024
164365,1024
177626,1024
178265,1024
181419,1024
183738,1024
184900,1024
185443,1024
190222,1024
191190,1024
192196,1024
192439,1024
198559,1024
203811,1024
208478,1024
212385,1024
217074,1024
217962,1024
221720,1024
224351,1024
224972,1024
231872,1024
233966,1024
237486,1024
243408,1024
245118,1024
246808,1024
246859,1024
247571,1024
253231,1024
257520,1024
258873,1024
265687,1024
273921,1024
276166,1024
280543,1024
291011,1024
297272,1024
305591,1024
308943,1024
312060,1024
316229,1024
318960,1024
319830,1024
320018,1024
320406,1024
323439,1024
330382,1024
333472,1024
338854,1024
342316,1024
343393,1024
353778,1024
354354,1024
367068,1024
370421,1024
370460,1024
370645,1024
373014,1024
376350,1024
378454,1024
379468,1024
381775,1024
390040,1024
392667,1024
394075,1024
397341,1024
401023,1024
404575,1024
411312,1024
412988,1024
418997,1024
426748,1024
433753,1024
434313,1024
438079,1024
439260,1024
441009,1024
444676,1024
447592,1024
466017,1024
468304,1024
469429,1024
474607,1024
475555,1024
476073,1024
484432,1024
493469,1024
494697,1024
494935,1024
505371,1024
509061,1024
515950,1024
526238,1024
530026,1024
537010,1024
539252,1024
541300,1024
543736,1024
546075,1024
546407,1024
547560,1024
553593,1024
554483,1024
556239,1024
557822,1024
559143,1024
561102,1024
563283,1024
563340,1024
563410,1024
563964,1024
564658,1024
564851,1024
572177,1024
575874,1024
578162,1024
579123,1024
582803,1024
583015,1024
583739,1024
584103,1024
587005,1024
590237,1024
592642,1024
593098,1024
597135,1024
598636,1024
599181,1024
600919,1024
609712,1024
612270,1024
613544,1024
614201,1024
617433,1024
619307,1024
626186,1024
626398,1024
629598,1024
634709,1024
638328,1024
640794,1024
642417,1024
642951,1024
646335,1024
646933,1024
648010,1024
655903,1024
660490,1024
663238,1024
665100,1024
666680,1024
669747,1024
672721,1024
676444,1024
680593,1024
684200,1024
685038,1024
685772,1024
687259,1024
691928,1024
697064,1024
698429,1024
699848,1024
700405,1024
709619,1024
719898,1024
719923,1024
722562,1024
723394,1024
731298,1024
733184,1024
733291,1024
734614,1024
741755,1024
742470,1024
744015,1024
744129,1024
745431,1024
745481,1024
748460,1024
750748,1024
750964,1024
754792,1024
755029,1024
755817,1024
756228,1024
757807,1024
759625,1024
761503,1024
761938,1024
771219,1024
775723,1024
776196,1024
776795,1024
778832,1024
779984,1024
781955,1024
787490,1024
790667,1024
791207,1024
794486,1024
801285,1024
802515,1024
802597,1024
802726,1024
803180,1024
806836,1024
807167,1024
811469,1024
816825,1024
819612,1024
825009,1024
825123,1024
827560,1024
831736,1024
842586,1024
844822,1024
848475,1024
858801,1024
861526,1024
863302,1024
864393,1024
864450,1024
866792,1024
870444,1024
870713,1024
878457,1024
879182,1024
881984,1024
883358,1024
884022,1024
885906,1024
887091,1024
895929,1024
897804,1024
901167,1024
904991,1024
905135,1024
911963,1024
913791,1024
920107,1024
927849,1024
928118,1024
928646,1024
931917,1024
933266,1024
938538,1024
938569,1024
948891,1024
949262,1024
953710,1024
958857,1024
960173,1024
961950,1024
963957,1024
966595,1024
969973,1024
970948,1024
976532,1024
981214,1024
981557,1024
987901,1024
988270,1024
989224,1024
989538,1024
989963,1024
996531,1024
997369,1024
1005257,1024
1007951,1024
1008689,1024
1010783,1024
1016448,1024
1023569,1024
1024077,1024
1024697,1024
1027222,1024
1035766,1024
1036411,1024
1037401,1024
1037997,1024
1043769,1024
1047227,1024
1051550,1024
1054980,1024
1055411,1024
1056044,1024
1058072,1024
1060184,1024
